Id,Character,Description,Quote,Linkimage
41,"Girl, Monsieur Verdoux","The lonely young woman caught in the rain on a night street. Thought to be a worthless derelict, a perfect specimen for a newly concocted poison, the girl proves otherwise. With a hard-luck story of a three-month jail sentence, for petty larceny, an invalid husband recently deceased, and current destitution, meekness held the form of a brunette wrapped in a raincoat. When cynicism should be her only outlet, she reminds us the beauties of life: spring mornings, summer nights, music, art, love, and the little kindness that makes a sad, blundering world beautiful again. ","Yet life is wonderful. Everything. Spring morning, summer night, music, art, love...[Love is] giving, sacrificing, the same a mother feels for a child...[My husband] was wounded in the war, a hopeless invalid. That's why I loved him. He needed me, depended on me, he was like a child. But he was more than a child to me; he was a religion, my very breath. I would have killed for him. No, love is something very real and deep...I don't know why I'm carrying on like this. I was beginning to lose faith in everything and this happens and you want to believe all over again...it's a blundering world, and a very sad one; yet a little kindness can it beautiful.",GirlMonsieurVerdoux.jpg
42,H.E.R.,"The personified symbol of a music movement, of a subculture for disenfranchised youth, of a righteous resistance to mainstream norms. Nevertheless, H.E.R. becomes tainted by gangster and thug personalities. From a proud beacon of Afrocentricity to a ghetto-fabulous thing-piece commercialized for mass appeal, we see a beautiful, black heroine fallen by the wayside and shrunk to a defiled creature. Oh, the two decade dissolution of something hopeful! Oh, the art disintegrated to the bare facts of life! Oh, the beauty, rhythm, social consciousness never realized!",,HER.jpg
43,Hamlet,"Torn between avenging a murdered father, reconciling an unfaithful mother and impious girlfriend, the young intellectual prince of Denmark meets his tragedy. Hamlet, clothed entirely in black, lingers in black thoughts, with a black future of sieges and death. Continuously in meditative monologues, the vacillating prince struggles with his decision. He sees clearly the futility of it all, the emptiness that all flesh returns to. So all the time, Hamlet longs for the eternal sleep where at the last is answered: to be or not to be?","To be, or not to be: that is the question: Whether 'tis nobler in the mind to suffer The slings and arrows of outrageous fortune, Or to take arms against a sea of troubles, And by opposing end them? To die: to sleep; No more; and by a sleep to say we end The heart-ache and the thousand natural shocks That flesh is heir to, 'tis a consummation Devoutly to be wish'd. To die, to sleep; To sleep: perchance to dream: ay, there's the rub; For in that sleep of death what dreams may come When we have shuffled off this mortal coil, Must give us pause: there's the respect That makes calamity of so long life; For who would bear the whips and scorns of time, The oppressor's wrong, the proud man's contumely, The pangs of despised love, the law's delay, The insolence of office and the spurns hat patient merit of the unworthy takes, When he himself might his quietus make With a bare bodkin? who would fardels bear, To grunt and sweat under a weary life, But that the dread of something after death The undiscover'd country  from whose bourn No traveller returns, puzzles the will And makes us rather bear those ills we have Than fly to others that we know not of? Thus conscience does make cowards of us all",Hamlet.jpg
44,Hannah,"The tenacious, flower growing out of the smoky muddiness of a Jewish ghetto; a noble, brave woman who tried hard to fight a corrupt and cruel system. Poor Hannah who grew up scrubbing kitchen floors and tending laundry still has a lovely soul to dream pure, honest aspirations. For all she wanted was a chance to a live in an uncertain future on a green countryside with a chicken farm with growing grapes and apples. Yet iron heels too quickly stomped on this war-torn daffodil whose sweet tears have shown the world the awful, sour chapter in human history. Nonetheless, her frank spirit shines like a beloved star too far for foul mankind to ever reach. ","Hannah, can you hear me? Wherever you are, look up Hannah! The clouds are lifting! The sun is breaking through! We are coming out of the darkness into the light! We are coming into a new world; a kindlier world, where men will rise above their hate, their greed, and brutality. Look up, Hannah! The soul of man has been given wings and at last he is beginning to fly. He is flying into the rainbow! Into the light of hope, into the future! The glorious future, that belongs to you, to me and to all of us. Look up, Hannah. Look up!",Hannah.jpg
45,Henry Corwin,"Far from the jolly optimism of St. Nick, poor Henry Corwin, a purposeless relic, works as a department story Santa Clause. Sadly the Yuletide festivities force Henry to find solace in a bottle since the miserable, alcoholic drunk must witness day in and day out the drab, dirty hopelessness of poverty all around him and people who forget the charity and purity of Christmas. He must with an aching heart look upon destitute children whose only Christmas presents are unrequited hopes. Nonetheless, Henry lands upon a mysterious bag which gives each poor slum child their heart's desires. So a compassionate soul who felt helpless to shabby conditions becomes a great, grand gift giver to the meek.","I don't know how to tell you Mr. Dundee. I don't know at all. All I know is that I'm an aging, purposeless relic of another time and I live in a dirty rooming house on a street filled with hungry kids and shabby people where the only thing that comes down the chimney on Christmas Eve is more poverty! You know another reason why I drink Mr. Dundee? So that when I walk down the tenements I can really think it is the North Pole and the children are elves and I'm really Santa Claus bringing them a bag of wondrous gifts for all of them! I just wish Mr. Dundee just one Christmas–.Only ONE–.that I could see some of the hopeless  ones, and the dreamless ones, just on one Christmas, I'd like to see the meek inherit the Earth, and that is why I drink Mr. Dundee and that is why I weep.",HenryCorwin.jpg
46,Hester Prynne,"One misbegotten mistake, one shameful sin and a vivacious, lovely young woman is lowered into a pale and drab existence. Never smiles or sunshine to welcome her, just a scaffold's shadow and somber sadness to walk beside her. Poor, hapless Hester survives rather than lives from day to day during the religious, stern epoch of Puritan close-mindedness. Despite her situation, she gives to others as alms to the poor and nurse to the sick -never wanting reward or acknowledgement. So on through the burden of years, the gray adorned ghost of a woman, alienated life as a social outcast, an ex-husband casting revenge, a possessed daughter reeking havoc, the embroiderer continues on. We shudder to think she will carry a joyless soul and earthly woe to a dark grave.  ",,HesterPrynne.jpg
47,Holden Caufield,"The seventeen-year old dropout from Pencey Prep who becomes the voice of teenage America; the soul-torn young man caught in the world of hypocrisy and superficiality. Sadly, Holden is unreachable by teachers, psychiatrists, or others alike for his gloomy, misanthropic, and cynical nature that forces him into alienation. His sensitivity and intelligence makes him distrustful of the adult world. Only does the playful laughter of children, in their innocent and genuine ways, intrigue his heart and fancy. We can scarcely imagine this depressed youth can still dream especially a pure one of protecting children in fields of rye and from falling off a cliff.","Anyway, I keep picturing all these little kids playing some game in this big field of rye and all. Thousands of little kids, and nobody's around - nobody big, I mean - except me. And I'm standing on the edge of some crazy cliff. What I have to do, I have to catch everybody if they start to go over the cliff - I mean if they're running and they don't look where they're going I have to come out from somewhere and catch them. That's all I do all day. I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be.",HoldenCaufield.jpg
48,Humboldt,"The insomniac, manic depressive poet who lived and died like all American poets are supposed to: a brief moment in the sun and squalid, secluded years to follow. Humboldt carried within him all the creative energy, intellectualism, and passion that a human being could contain in one skull. After one great publication, he continued in the career of letters but struggled through relationships, finances, friendships. From Chicagoland to the New York area, Humboldt tried with academic seats, political aims, screenplays, and with raising art to a higher level above crass commercialism. But he died a nobody yet succeeded in the one effort all poets aim for: inspiration.","The Times was much stirred by Humboldt's death and gave him a double-column spread. The photograph was large. For after all Humboldt did what poets in crass America are supposed to do. He chased ruin and death even harder than he had chased women. He blew his talent and his health and reached home, the grave in a dusty slide. He plowed himself under. Okay. So did Edgar Allan Poe, picked out of the Baltimore gutter. And Hart Crane over the side of a ship. And Jarrell falling in front of a car. And poor John Berryman jumping from a bridge. For some reason this awfulness is peculiarly appreciated by business and technological America. The country is proud of its dead poets. It takes terrific satisfaction in the poets' testimony that the USA is too tough, too big, too much, too rugged, that American reality is overpowering. And to be a poet is a school thing, a skirt thing, a church thing.",Humboldt.jpg
49,J. Alfred Prufrock,"The quintessential modern man sweltering in the stifled existence of urban living. Filled with insecurities of personality and appearance, Prufrock ruminates over his sad, middle-aged indecisions. He tries hard to dare the universe in consummating a romantic relationship but he admits that he's no Prince Hamlet, no prophet, and here is no great matter. Educated and alone, Prufrock looks out at the scene of things, never being a part of it. Through cityscapes of drains and smoky haze, measuring his life in coffee spoons, Prufrock shows us the modern, 20th century Western individual as an isolated, lost figure in human history.","And indeed there will be time/To wonder, ""Do I dare?"" and, ""Do I dare?""/Time to turn back and descend the stair,/With a bald spot in the middle of my hair""/[They will say: ""How his hair is growing thin!""]/My morning coat, my collar mounting firmly to the chin,/My necktie rich and modest, but asserted by a simple pin""/[They will say: ""But how his arms and legs are thin!""]/Do I dare/Disturb the universe?/In a minute there is time/For decisions and revisions which a minute will reverse./For I have known them all already, known them all:–/Have known the evenings, mornings, afternoons,/I have measured out my life with coffee spoons;/I know the voices dying with a dying fall/Beneath the music from a farther room./So how should I presume?",JAlfredPrufrock.jpg
50,James Evans,"Everyday he is busting and scratching for food on the table, a roof over head, opportunities for his three children. But everyday, the 1970s Chicago South Side gives no helping hand as the working class father must work two grueling jobs just to get the bare crumbs called hope. Mired in a recession, walled in by poverty, the proud James epitomizes the strong, black man. Sometimes a hopeful job or chance comes along only to prove impossible or inconvenient. But still he continues surviving the only way he knows how: somehow, someway.","A job? What the hell good is a job? Man, I got a job. I got two jobs. Hell, I had jobs all my life. I want something more for my son. I want him to have an opportunity and you and I both know opportunities only come through with an education.",JamesEvans.jpg
51,Jay Gatsby,"The Long Island millionaire who hosts lavish weekly parties in his luxurious home but never partook in the festivities. From meager origins, Jay Gatsby shunned poverty and hungered for wealth even if it meant bootlegging and securities fraud. Jay, a creature of his time, got caught in the rapture of the brimming 20s and the bustling New York. He even gets lovestruck along the way for an old flame. Blinded by it all, Jay Gatsby faces accidents and death but deep down he was just a lost boy looking for respect and love. His near empty funeral reveals the Great Gatsby is just a meek Gatsby.",You see I usually find myself among strangers because I drift here and there trying to forget the sad things that happened to me.,JayGatsby.jpg
52,Jerry Renault,"The grade school cadet who stands up for all the picked on kids of school bullies, near and far. Jerry holds steadfast in a private school filled with intimidating figures from peer to teacher. Going against the tide, daring the universe, hanging onto his principles, Jerry refuses to sell chocolates. So the torment intensifies. Brawls erupt as he tastes blood and broken teeth, as fists rain down its fury on him. A David against a Goliath, courage gains a face and heart with this young man. Jerry even teaches a close friend that they can beat him up but can't beat him.","Just now, Janza was beating me up. But he wasn't winning. I mean, you can get beat up and still not lose. You can look like a loser but don't have to be one. Janza's the loser, Goober. He'll be a loser all his life. He beat me up but he couldn't beat me. They want you to fight, Goober. And you can really lose only if you fight them. That's what the goons want. And guys like Archie Costello. You have to outlast them, that's all.",JerryRenault.jpg
53,Jim Casey,"The ex-preacher who took to the road with a family toward California. Jim made a few graces over meals, a few prayers over the dead but his heart was no longer in the established faith. Out of the church now, the wandering middle-aged man roams the abandoned countryside in search of a calling. Alone, sad, lost Jim finds his purpose among the people. Hot in human strife, he is arrested by the police but after enlisting in a worthy cause. Still believing the holy spirit is the human spirit and that all people are part of one big soul, Jim finds everyday things holy.","I'll go anyways. Somepin's happening. I went up an' I looked, an' the houses is all empty, an' the lan' is empty, an' this whole country is empty. I can't stay here no more. I got to go where the folks is goin'. I'll work in the fiel's, an' maybe I'll be happy...I ain't gonna preach...I ain't gonna baptize. I'm gonna work in the fiel's, in the green fiel's, an I'm gonna be near to folks. I ain' gonna try to teach 'em nothin'. I'm gonna try to learn. Gonna learn why the folks walks in the grass, gonna hear 'em talk, gonna hear 'em sing. Gonna listen to kids eatin' mush. Gonna hear husban' an' wife a-pounding the mattress in the night. Gonna eat with 'em and learn. Gonna lay in the grass, open an' honest with anybody that'll have me. Gonna cuss and an' swear an' hear the poetry of folks talkin'. All that's holy, all that's what I didn' understan'. All them things is the good things...I wonder what they is for a fella so lonely.",JimCasey.jpg
54,Jim of Huck Finn,"The humble slave that escapes his rough servitude with a young boy. Away on a wigwam and raft, Jim and his companion become entangled with the worst characters the world has to offer. But through a caring heart, bleeding with homesickness for his family, the Negro runaway slave finds his way to freedom. Always a practical as well as superstitious man, the self-denying Jim welcomes in open arms a young friend who crosses the color barrier, the shackle's long chain, and the vigilante mob's fast pursuit during America's darkest, merciless chapters.","Pooty soon I'll be a-shout'n for joy, en I'll say, it's all on accounts o' Huck; I's a free man, en I couldn't ever ben free ef it hadn't ben for Huck; Huck done it. Jim won't ever forgit you, Huck; you's de bes' fren' Jim's ever had; en you's de only fren' ole Jim's got now. Dah you goes, de ole true Huck; de on'y white genlman dat ever kep' his promise to ole Jim.",JimHuckFinn.jpg
55,Joan Clayton,"The young African American restauranteur who enjoys the highs and lows of upscale, urban LA living. Formerly a lawyer caught in a dead-end fix, Joan decided to take a detour on a one-way street toward her dreams. Sadly, poor Joan on the relentless search for Mr. Right goes from one relationship to another throughout the years. Burdening herself with too many demands, she finds herself cornered and not growing. Fortunately, she finds strength among three vivacious lady friends. But Joan can never entirely open her soul to a beloved companion. So the sad prospect of a lone spinster clouds her tearful eyes date after date.",,JoanClayton.jpg
56,Job,"Where before rigidly-endowed cattle and a rich, loving family walked with him hand in hand, now a barren home and a diseased body oppresses his soul. The biblical figure, Job, with a truly faithful heart nonetheless remains pious and upright to his God. Despite his god-fearing nature though, poor, hapless Job, once an oriental chieftain whose name echoed throughout the East, cries out with such bleeding anguish for the ultimate reasoning behind his suffering. In the end, his story becomes the heroic sage of the human condition, turning tragedy into triumph because he disregarded things of this world.","There the wicked cease from turmoil, and there the weary are at rest./Captives also enjoy their ease; they no longer hear the slave driver's shout./The small and the great are there, and the slaves are freed from their owners./Why is light given to those in misery,and life to the bitter of soul,/to those who long for death that does not come, who search for it more than for hidden treasure,/who are filled with gladness and rejoice when they reach the grave?/Why is life given to a man whose way is hidden, whom God has hedged in?/For sighing has become my daily food; my groans pour out like water./What I feared has come upon me; what I dreaded has happened to me./I have no peace, no quietness; I have no rest, but only turmoil.",Job.jpg
57,John Coffey,"The gentle giant who though innocent and by cruel circumstances was sentenced to death row for a crime he didn't commit; a sad, quiet reserved man always found weeping and being afraid of the dark. John Coffey of somewhat sub-average intelligence but superhuman size possesses the miraculous gift of healing. Sadly this calm, mild, innocent inmate dies on the electric chair but his humble yet hapless spirit roams beyond cell blocks and prison wards into the hearts and minds of feeling souls. Even if he is the lonely sparrow in the rain, he beckons all earth's inhabitants with all his childlike personality to be happy on a loving planet.","You tell God the Father it was a kindness you done. I know you hurtin' and worryin', I can feel it on you, but you oughta quit on it now. Because I want it over and done. I do. I'm tired, boss. Tired of bein' on the road, lonely as a sparrow in the rain. Tired of not ever having me a buddy to be with, or tell me where we's coming from or going to, or why. Mostly I'm tired of people being ugly to each other. I'm tired of all the pain I feel and hear in the world everyday. There's too much of it. It's like pieces of glass in my head all the time.",JohnCoffey.jpg
58,Jurgis,"A soul-torn Lithuanian immigrant whose American dream turned out to be a universal nightmare. With unrelenting toil in the meatpacking plants in Chicago, Jurgis must endure the merciless grind while working and the inhuman conditions while living in city slums. And Life in its continual torture forces the helpless, hopeless, hapless Jurgis to lose his house, his adoring wife, his infant son to unfortunate demises. And on through the city's brothels, bars, jails, and countrysides, Jurgis becomes another by-product of exploitation. ",,Jurgis.jpg
59,Kattrin,"The mute darling pushed along on a vending cart during the long, brutal Thirty Years' War; the dumb daughter whose supple heart struggles on the dismal European landscape torn apart by Protestants and Catholics. Once by one poor Kattrin witnesses the absences of her brothers and the untimely calamities that only war can foster. She suffers from the virtues of kindness and pity with arms and a bosom aching to hold infant children. In a time where war paves the way for women's prostitution and raping, Kattrin, the voiceless, ragged heroine, glimmers as a ray in the darkest of times. ",,Kattrin.jpg
60,Laura Wingfield,"The painfully shy darling, crippled with one leg slightly shorter than the other; the innocent, frail creature who withdraws from society and finds solace among glass animal figurines and an old phonograph. Poor Laura limited by her own self-consciousness sadly drops out of high school and business school. Now, the kind-faced, meek lady spends her time in an illusionary world waiting for a gentleman caller to take her away. But eventually, the lame daughter and sister learns the beauty of imperfections; where all the world are duplicated horses, she is the unique unicorn; where all the world are weeds, she is blue roses.","I wish that you were my sister. I'd teach you to have some confidence in yourself. The different people are not like other people, but being different is nothing to be ashamed of. Because other people are not such wonderful people. They're one hundred times one thousand. You're one times one! They walk all over the earth. You just stay here. They're common as—weeds, but—you—well—, you're—Blue Roses",LauraWingfield.jpg
61,Lennie,"A simple-minded, childlike migrant worker whose gentleness and kindness leads him to doom on the great American plains; a large, lumbering man quick to pet anything soft -small animals, dresses, hair- but was unaware of stone-hearted men when he petted the wrong object. Poor, innocent Lennie completely dependent on his weary partner dreams the peaceful, pleasant hope of a beautiful farm where he could tend at last to his beloved rabbits. Unaware of his own strength and his own heart, the mentally-challenged Lennie left prematurely from a world that didn't understand him and a world he didn't understand.",,Lennie.jpg
62,Lucynell Crater,"The innocently pure darling used by the rogues of this world, misused by a weary Southern mother, then abused by a sad turn of events. Poor Lucynell, born deaf and mute, thought she found something to hope for but see it racing away toward the horizon. The sweet, gentle daughter who in the end was just a heavy burden to those closest to her. A rather large young woman close to thirty delighted just to learn how to pronounce ""bird."" Yet, what reward comes to such meek beauty but a haphazard marriage and careless abandonment in a road side diner. Truly, this misunderstood, unknowing creature was an Angel of God for possessing human frailty in its rich, quiet essence.",,LucynellCrater.jpg
63,Maggie Fitzgerald,"A trailer park hillbilly born into a life without hope somewhere between nowhere and goodbye; a thirty-one year old woman who grew up thinking she was trash, that she was nothing since a family emotionally disowned her. Eventually, the poor, low-paid waitress found her self-worth and dignity in a boxing ring, becoming an ersatz daughter to a stern, hard old man. Sadly poor Maggie suffers a tragic accident that hushed the many cheers and applause of a humble seed turned champion. But in the end, meek laughing soul Maggie lives up to her name ""chuisle"", Gallic for ""darling.""",,MaggieFitzgerald.jpg
64,Marilyn Cuberle,"In a future world where uniformity and conformity are mandated principles, poor Marilyn Cuberle refuses to be assimilated in such a state. With a beautiful mind teeming with ideals of individuality, beauty, and the human spirit, the soul-torn Marilyn adamantly and blatantly declines an operation of generic beauty. But the eighteen-year old, inspired by a father who fought long and hard for his dignity, sadly loses the battle to convince an automaton world the worth of foreign thoughts and feelings. Yet even though her beliefs are now voiced from a collective conscience, a body now tucked underneath an assembly line figure, we still hear echoes of a rebel crying out.","Have you ever read Shakespeare? Or Keats? Or Shelley? My father gave them to me and lots of others. Aristotle. Socrates. Dosteovsky. Did you know Dosteovsky was an epileptic? He was ugly. He was deformed. But he wrote about beauty, about real beauty. These men wrote about life, about the dignity of the individual, human spirit, and about love.",MarilynCuberle.jpg
65,Marshal Will Kane,"A marshal of a town who embodies the very face of courage. When an outlaw fugitive with his band returns for revenge; when deputies are hard to enlist; when all the townspeople abandon him, Marshall Will Kane stands strong and ready to uphold justice even at the near cost of his life. Only a recent bride remains at his side, still keeping the promise of their wedding day. So on a Wild West showdown at high noon, a weary marshal and loyal wife exhibit core values of justice, devotion, courage, and love, more qualities than a tin star can represent.","Yeah, it's a good life! You risk your skin catching killers and the jury turns them loose so they can come back to shoot at you again. If you're honest, you pour your whole life. And in the end, you wind up dying all alone on some dirty street. For what? For nothing, for a tin star...It figures. It's all happens too sudden. People gotta talk themselves into law and order before they do anything about it. Maybe because deep down, they don't care. They just don't care.",MarshallKane.jpg
66,Mother in Black Christ,"The old, aging relic, reticent, uncomplaining and ever so patient who endured a lifetime of woes but still holds steadfastly to her saving faith. Marred by anguished experiences, broken down by troubling relationships, this poor mother still showers warmth and gentleness to a cold, bitter world. She knits by candlelight through weak eyes, threading with wrinkled hands, attached to frail limbs on a weary body frame. Gray hair and woe-ravaged eyes that tell of a crippled, soul-torn Negro story. And when a son is lynched and dies, this woman, Job's darker sister, embraces God with tremendous faith and patience. She proves that despite the paucity of hopes, the scarcity of dreams, a lowly seed can have touches of divinity.",,MotherBlackChrist.jpg
67,Mr. Freeze,"Once a brilliant cryogenics researcher working to find a cure for his beloved wife, Nora, who became a callous, withdrawn villain bent on revenge. After a terrible accident that left him unable to survive out of a sub-zero environment, Mr. Freeze becomes a saddened, sensitive soul who would kill just to walk on a warm summer day with a hot wind in his face and a warm hand to hold. So the lonely, hapless man, whose only solace is a music box with his wife's memory, lives a cold, dead world alien to any human compassion or hope. ","Think of it Batman. To never again walk upon a summer's day with a hot wind in your face and a warm hand to hold. Oh yes, I'd kill for that...I failed you. I wish there were another way for me to say it. I cannot. I can only beg your forgiveness and pray you hear me somehow... someplace. Someplace where a warm hand waits for mine.",MrFreeze.jpg
68,Mr. Smith,"With an overnight rise in fame, a little known leader of boy rangers becomes a U.S. senator. Wet behind the ears. Mr. Smith tries to advance the people's business in the nation's capital. But his idealism, common goodness, is stopped dead in its tracks by the political machines, filibusters, the press, gridlock, and back room power dealing. Mr. Smith learns betrayal for political maneuvering; defacto events over hollow words of the founding fathers; money and power over love thy neighbor principles. But through the articles and amendments, Mr. Smith fights for a lost cause, embodying America's true promise.","I guess this is just another lost cause, Mr. Paine. All you people don't know about lost causes. Mr. Paine does. He said once they were the only causes worth fighting for. And he fought for them once, for the only reason any man ever fights for them; because of just one plain simple rule: 'Love thy neighbor'. And in this world today, full of hatred, a man who knows that one rule has a great trust. You know that rule, Mr. Paine, and I loved you for it, just as my father did.  And you know that you fight for the lost causes harder than for any other. Yes, you even die for them.",MrSmith.jpg
69,Mr. Spock,"The quiet, resolute scientific-minded first officer who looks out on the world in logic terms. Half-Vulcan, half-human, Mr. Spock carries superior qualities yet a stable, understanding role. Through episodes of time portals, different dimensions, uncanny creatures, Mr. Spock stands true to a captain and crew. Lacking emotion, a starship is guided by a consistent hand. But an untold story of a distant homeland is harbored within him. All the knowledge and logic of the universe cannot hide his stifled hope to be free, impulsive, unpredictable, loving -to be human. ",,MrSpock.jpg
70,Mrs. Ramsay,"The patient, sympathetic though-flowing woman on a summer trip to Isle of Skye. A mother who outpours defense and hope for her children; a wife who shoulders moral and social support for her agitated husband; a hostess bringing together the conflicting personalities to a dinner table. Though carrying conventional norms of gender roles, Mrs. Ramsay whimsically appreciates her family and guests. With an eye toward a lighthouse, toward a hopeful beam, this English woman coalesces experiences and personalities into the entangled tragic-comedic chaotic collage called life.",,MrsRamsay.jpg
71,Fox Mulder,"Bent on learning the truth of man and nature, the galaxy and stars, and government secrets, Mulder becomes entangled in the engulfing mystery. A passion born from losing a sister, the FBI agent chases at any cost the ultimate answer. In doing so, he loses both parents and almost loses his own life. But the hard-luck Mulder, who never quits, has a stable, scientifically-minded partner that keeps him sane and keeps him going. Yet deep down in the mist of distrustful institutions and agendas, he carries a soul continually crying out: ""I want to believe.""","I'm the key figure in an ongoing government charade, the plot to conceal the truth about the existence of extraterrestrials. It's a global conspiracy, actually, with key players in the highest levels of power, that reaches down into the lives of every man, woman, and child on this planet, so, of course, no one believes me. I'm an annoyance to my superiors, a joke to my peers. They call me Spooky. Spooky Mulder, whose sister was abducted by aliens when he was just a kid and who now chases after little green men with a badge and a gun, shouting to the heavens or to anyone who will listen that the fix is in, that the sky is falling and when it hits it's gonna be the shit-storm of all time.",FoxMulder.jpg
72,"Musician, Weary Blues","The lone singer and musician who pours his moans into music. In a small corner of a Harlem nightclub, a sad soul plays a piano melody and sings woeful lyrics to any listening ear. We don't know his name, but we feel his pain. We don't know his story but we connect with its themes of weariness, unhappiness, and loneliness; the same life themes that springs from lost loves, failed jobs, abandoned cots, monotonous hours, empty pockets, starved hopes...And yet instead of wallowing in self-pity, art is produced, music is played. And we accept this as a lasting artifact of the human condition.",,MusicianWearyBlues.jpg
73,Newman,"The archenemy neighbor who after the conniving, plotting, scheming is just an ordinary, lonely tenant of the city. A laughable, eccentric postal worker who like all people dreams simple dreams like an easy, long-sought mail route and affectionate love returned. Newman mixes poetry with comedy and deep underneath we hear the groan of a simple, working class everyman trying to make it in life's hustle and bustle. He doesn't surmount the institution. He doesn't beat the odds. He doesn't win the girl but the audience still root for him and cheer him on all the way.","And therein lies the tragedy. For I believe, sadly for you, that there is but one woman meant for each of us. One perfect angel for whom we are put on this earth. One winsome tulip we ceaselessly yearn for throughout our dreary, workaday lives! And you, my friend, have found your angel. I can tell. For my heart has also been captured by a breathless beauty - whom I fear I will never possess.",Newman.jpg
74,Obscure Youth,"Just a nameless youth dreaming upon a cloud who learns the weighty truth of the universe, that all things and efforts are vain. A looming voice over head casts a shadow on the youth's dreams. All his hopes for fame and fortune, respect and reverence, awe and acknowledgement are dashed down. Where he dreams crowds to cheer him, only empty fields will welcome him. Where he thought Glory would caress, only Failure will scar him. We rise with his innocent passion and sink with his gloomy realization. And so the obscure youth continues on his way -lost and lonely- towards an unmarked grave.",,ObscureYouth.jpg
75,Perth,"The nearly sixty-year old crew member aboard the fateful Pequod who once lived a blithe family life with a doting wife and three loving children. However, after a desperate burglary rampaged his home, a lost battle with alcoholism; and wife and kids meeting their untimely ends. poor, pitiful Perth stood alone in all the world. He had no home, no family, no heart, just an anvil and iron at hand. So when Death failed to knock on his door even when he longed for it, he found refuge on the high seas. There, the hapless old man pounded away with a hardened hammer and saddened soul.",,Perth.jpg
76,Quasimodo,"The deformed, deaf bell ringer of Notre Dame who carries within him the purest of hearts, the noblest of souls. Unloved at birth, shunned in life, the lonely hunchback thought to be a monster by the public, hides from the world in dark crevices and corners. Yet the unattached, ""almost human"" creature willingly fights for good and against evil. Even amid a tragic story of unrequited love, Quasimodo loves to the end. From public disdain to private triumph, the monstrous outer hide of this Parisian bell ringer sheds off to a beautiful, meek interior soul.",,Quasimodo.jpg
77,Waiting Man,"The hopeful young man who waits eagerly for his love amidst the closing of a church ceremony. But the waiting drags on and on an on, and still on. With painstaking patience and stamina, he sits and hopes. But hope dims like the candlelight nearby. The awful refrain chimes through his sad, crushed soul: ""she will not come, the woman that he waits."" He saw the hair, the eyes, and felt the touch, the kiss, but all were fading dreams. Head bowed, tears forming, his innocence is lost. Love that sprouted with brimming hope is dashed down to an abandoned nail laid bare.","Fond, fervent heart of life's enamored spring,/So true, so confident, so passing fair,/That thought of Love as some sweet, tender thing,/And not as war, red tooth and nail laid bare,/How in that hour its innocence was slain,/How from that hour our disillusion dates,/When first we learned thy sense, ironical refrain,/She will not come, the woman that he waits.",WaitingMan.jpg
78,Robert Barone,"The gargantuan police lieutenant who is reduced in size by a successful younger brother, stifling parents, and untimely romantic encounters. An honest, loving gentle giant oftentimes slighted by a mother, and shadowed by a brother. Forever with a frown on his face, poor Robert swelters through a difficult, inconvenienced life. Yet however the winds blow at hims, snows pile on him, or the sun scorches him, hapless Robert still serves as an affectionate virtuous family member be it a brother, son, or uncle. The neglected leviathan who manages to dance his blues away, showing us all that it's not the circumstances that make the meek but the response to it. ",,RobertBarone.jpg
79,Rogue,"The soul-torn darling blessed with a sensitive spirit and cursed with a mutant body; a beautiful brunette having touches of gray locks who fights long and hard for noble values and ideals as a member of the X-Men. But in between battles, poor, hapless Rogue wanders astray limited by her own powerful prowess. Having the keen ability to involuntarily absorb any being's memories and physical strength simply by a touch, the southern belle's innocent hopes of fond embraces and tender kisses are sadly dashed down. So from a disowned family to unsuccessful romantic liaisons, Rogue agonizes through the years, ready to give up her all-powerful abilities just for a human touch. ","You know, I remember when I was 13. Had me a boyfriend, so I kissed him. Poor boy was in a coma for three days. That was when I first realized that if I touched anybody, I'd absorb their strength right into me. Some power, huh? That's when the boys stopped calling.",Rogue.jpg
80,Roz Doyle,"The hard-luck radio show producer struggling in the usual twentieth century quandaries: juggling a career and a love life, all while being a single mother. Despite sinking in the quicksands of a sexual-young-money-job world, poor Roz fights such social forces with the love of an infant daughter and sincere co-workers and friends. But still, the average joe 38-year old heroine feels incomplete as if a gaping hole cratered itself within her condo apartment, SUV, checkbook hassle of an existence; the searches for Mr. Right that always end up wrong. But no tragedy do we see unfold in this candid, soul-torn darling but an example that even a hard-working mother will have her deserving place in the sun.","Forty-seven? I have a suggestion for you, Stu. Grow the hell up! I'm thirty-eight. And I FEEL thirty-eight. Now, I know we're all supposed to act like perpetual teenagers these days, but you know what? I like acting my age. I like being a mom. I like having a career. And I like balancing my checkbook! When did it become such a bad thing to be an adult?! Now, don't get me wrong, I had a great time when I was younger, I did! But after a while, that way of life just seems empty. You have to go deeper, and commit to things that really matter to you. Believe me, when you do that, you'll find out how amazing and rich life can be.",RozDoyle.jpg
81,Ruth Younger,"The Chicagoan housewife, weary and tired, through the years. As finances dissolve, a marriage is strained. Ruth tries to keep keeping on but all seems hard and long. Yet she refuses self-pity or being the outlet for an estranged husband to vent. Ruth holds the house together and finds underneath the misery and despair the core family values of love and devotion. The worn-out mother and wife, carrying the piled centuries of black woman's strength, learns that struggle and strife make way for character and integrity. Even with a growing seed in her, another pile on the burden, Ruth is ready to nurture and cultivate.",,RuthYounger.jpg
